"Ano/mês da saída";"Saídas no Brasil"
"2021";3012640
"Janeiro/2021";258025
"Fevereiro/2021";130611
"Março/2021";148730
"Abril/2021";128995
"Maio/2021";145591
"Junho/2021";162016
"Julho/2021";210487
"Agosto/2021";215537
"Setembro/2021";262404
"Outubro/2021";333755
"Novembro/2021";454797
"Dezembro/2021";561692
"2022";9347409
"Janeiro/2022";687361
"Fevereiro/2022";626786
"Março/2022";687160
"Abril/2022";750113
"Maio/2022";722399
"Junho/2022";708971
"Julho/2022";860434
"Agosto/2022";832369
"Setembro/2022";812970
"Outubro/2022";844769
"Novembro/2022";824077
"Dezembro/2022";990000
"2023";13539200
"Janeiro/2023";1506363
"Fevereiro/2023";1308503
"Março/2023";1154790
"Abril/2023";1038789
"Maio/2023";908294
"Junho/2023";915941
"Julho/2023";1083875
"Agosto/2023";1092955
"Setembro/2023";1069276
"Outubro/2023";1086756
"Novembro/2023";1082498
"Dezembro/2023";1291160
"2024";15722584
"Janeiro/2024";1749986
"Fevereiro/2024";1547202
"Março/2024";1396529
"Abril/2024";1197281
"Maio/2024";1108197
"Junho/2024";1073730
"Julho/2024";1335168
"Agosto/2024";1215947
"Setembro/2024";1194986
"Outubro/2024";1200692
"Novembro/2024";1234953
"Dezembro/2024";1467913
"2025";18163619
"Janeiro/2025";2195548
"Fevereiro/2025";1986383
"Março/2025";1733523
"Abril/2025";1427863
"Maio/2025";1176854
"Junho/2025";1215535
"Julho/2025";1495374
"Agosto/2025";1393385
"Setembro/2025";1317092
"Outubro/2025";1312761
"Novembro/2025";1343161
"Dezembro/2025";1566140
"2026";13058635
"Janeiro/2026";2178037
"Fevereiro/2026";2011235
"Março/2026";1739932
"Abril/2026";1523831
"Maio/2026";1317634
"Junho/2026";1231915
"Julho/2026";1580550
"Agosto/2026";1475501
"Total";72844087
