"Ano/mês da entrada";"Entradas no Brasil"
"2021";2853913
"Janeiro/2021";194350
"Fevereiro/2021";123914
"Março/2021";115716
"Abril/2021";99260
"Maio/2021";127522
"Junho/2021";152148
"Julho/2021";220180
"Agosto/2021";209685
"Setembro/2021";226228
"Outubro/2021";325446
"Novembro/2021";447203
"Dezembro/2021";612261
"2022";9051513
"Janeiro/2022";702036
"Fevereiro/2022";559952
"Março/2022";619903
"Abril/2022";674821
"Maio/2022";640159
"Junho/2022";674469
"Julho/2022";854594
"Agosto/2022";786018
"Setembro/2022";780254
"Outubro/2022";849641
"Novembro/2022";864047
"Dezembro/2022";1045619
"2023";13323947
"Janeiro/2023";1630367
"Fevereiro/2023";1215507
"Março/2023";1032685
"Abril/2023";894098
"Maio/2023";870001
"Junho/2023";889085
"Julho/2023";1094717
"Agosto/2023";1052059
"Setembro/2023";1038906
"Outubro/2023";1129095
"Novembro/2023";1168462
"Dezembro/2023";1308965
"2024";15769412
"Janeiro/2024";1862392
"Fevereiro/2024";1507880
"Março/2024";1333974
"Abril/2024";1027285
"Maio/2024";1049077
"Junho/2024";1100644
"Julho/2024";1355473
"Agosto/2024";1208167
"Setembro/2024";1174720
"Outubro/2024";1261394
"Novembro/2024";1301676
"Dezembro/2024";1586730
"2025";18248626
"Janeiro/2025";2416692
"Fevereiro/2025";1895900
"Março/2025";1602092
"Abril/2025";1305142
"Maio/2025";1147152
"Junho/2025";1210281
"Julho/2025";1563258
"Agosto/2025";1364712
"Setembro/2025";1290500
"Outubro/2025";1356739
"Novembro/2025";1430462
"Dezembro/2025";1665696
"2026";12890996
"Janeiro/2026";2369366
"Fevereiro/2026";1957412
"Março/2026";1699484
"Abril/2026";1271922
"Maio/2026";1271021
"Junho/2026";1253128
"Julho/2026";1618889
"Agosto/2026";1449774
"Total";72138407
