"Ano/mês do Óbito";"Óbitos no Brasil"
"2015";1264175
"Janeiro/2015";106695
"Fevereiro/2015";90612
"Março/2015";102473
"Abril/2015";105114
"Maio/2015";114042
"Junho/2015";109240
"Julho/2015";112975
"Agosto/2015";107510
"Setembro/2015";103152
"Outubro/2015";104756
"Novembro/2015";100873
"Dezembro/2015";106733
"2016";1309774
"Janeiro/2016";106199
"Fevereiro/2016";102818
"Março/2016";111631
"Abril/2016";112127
"Maio/2016";115315
"Junho/2016";117216
"Julho/2016";118151
"Agosto/2016";111120
"Setembro/2016";102873
"Outubro/2016";107472
"Novembro/2016";99625
"Dezembro/2016";105227
"2017";1312663
"Janeiro/2017";105899
"Fevereiro/2017";97082
"Março/2017";108850
"Abril/2017";107063
"Maio/2017";114774
"Junho/2017";114324
"Julho/2017";122610
"Agosto/2017";114698
"Setembro/2017";107336
"Outubro/2017";109666
"Novembro/2017";102390
"Dezembro/2017";107971
"2018";1316719
"Janeiro/2018";106838
"Fevereiro/2018";94994
"Março/2018";109390
"Abril/2018";107849
"Maio/2018";115068
"Junho/2018";116967
"Julho/2018";119675
"Agosto/2018";115169
"Setembro/2018";108897
"Outubro/2018";107666
"Novembro/2018";103328
"Dezembro/2018";110878
"2019";1349801
"Janeiro/2019";110373
"Fevereiro/2019";97737
"Março/2019";109549
"Abril/2019";110370
"Maio/2019";118736
"Junho/2019";118911
"Julho/2019";124885
"Agosto/2019";118568
"Setembro/2019";112312
"Outubro/2019";111532
"Novembro/2019";105635
"Dezembro/2019";111193
"2020";1556824
"Janeiro/2020";110932
"Fevereiro/2020";104255
"Março/2020";117888
"Abril/2020";123596
"Maio/2020";154511
"Junho/2020";140663
"Julho/2020";145262
"Agosto/2020";141329
"Setembro/2020";127115
"Outubro/2020";128797
"Novembro/2020";122598
"Dezembro/2020";139878
"2021";1832649
"Janeiro/2021";149498
"Fevereiro/2021";135073
"Março/2021";207106
"Abril/2021";194531
"Maio/2021";180855
"Junho/2021";170283
"Julho/2021";156727
"Agosto/2021";141752
"Setembro/2021";124202
"Outubro/2021";123525
"Novembro/2021";118246
"Dezembro/2021";130851
"2022";1544266
"Janeiro/2022";166126
"Fevereiro/2022";133972
"Março/2022";121423
"Abril/2022";116992
"Maio/2022";131226
"Junho/2022";135693
"Julho/2022";137561
"Agosto/2022";126129
"Setembro/2022";118621
"Outubro/2022";120206
"Novembro/2022";115041
"Dezembro/2022";121276
"2023";1465610
"Janeiro/2023";117428
"Fevereiro/2023";105422
"Março/2023";120459
"Abril/2023";121257
"Maio/2023";129973
"Junho/2023";129326
"Julho/2023";131865
"Agosto/2023";123990
"Setembro/2023";119304
"Outubro/2023";121777
"Novembro/2023";122826
"Dezembro/2023";121983
"2024";1532015
"Janeiro/2024";120977
"Fevereiro/2024";115446
"Março/2024";133329
"Abril/2024";132980
"Maio/2024";137658
"Junho/2024";132040
"Julho/2024";135662
"Agosto/2024";132418
"Setembro/2024";126258
"Outubro/2024";124300
"Novembro/2024";117698
"Dezembro/2024";123249
"2025";1534588
"Janeiro/2025";124403
"Fevereiro/2025";111868
"Março/2025";122894
"Abril/2025";122583
"Maio/2025";141482
"Junho/2025";141993
"Julho/2025";142231
"Agosto/2025";134649
"Setembro/2025";123566
"Outubro/2025";124206
"Novembro/2025";119132
"Dezembro/2025";125581
"2026";350181
"Janeiro/2026";121045
"Fevereiro/2026";106254
"Março/2026";122882
"Total";164369265
