"Ano/mês do nascimento";"Nascimentos no Brasil"
"2015";3017668
"Janeiro/2015";253833
"Fevereiro/2015";239707
"Março/2015";277540
"Abril/2015";263592
"Maio/2015";269032
"Junho/2015";252239
"Julho/2015";252396
"Agosto/2015";244966
"Setembro/2015";250849
"Outubro/2015";239945
"Novembro/2015";230672
"Dezembro/2015";242897
"2016";2857800
"Janeiro/2016";246388
"Fevereiro/2016";241133
"Março/2016";267249
"Abril/2016";256752
"Maio/2016";262413
"Junho/2016";246322
"Julho/2016";241194
"Agosto/2016";232083
"Setembro/2016";226505
"Outubro/2016";217018
"Novembro/2016";204074
"Dezembro/2016";216669
"2017";2923535
"Janeiro/2017";226414
"Fevereiro/2017";223515
"Março/2017";266965
"Abril/2017";252941
"Maio/2017";269777
"Junho/2017";254808
"Julho/2017";249008
"Agosto/2017";244608
"Setembro/2017";237644
"Outubro/2017";233926
"Novembro/2017";229578
"Dezembro/2017";234351
"2018";2944932
"Janeiro/2018";248735
"Fevereiro/2018";230349
"Março/2018";264342
"Abril/2018";262426
"Maio/2018";268724
"Junho/2018";245608
"Julho/2018";246705
"Agosto/2018";243961
"Setembro/2018";237043
"Outubro/2018";237490
"Novembro/2018";228568
"Dezembro/2018";230981
"2019";2849146
"Janeiro/2019";246048
"Fevereiro/2019";232779
"Março/2019";257871
"Abril/2019";250164
"Maio/2019";257068
"Junho/2019";236360
"Julho/2019";240490
"Agosto/2019";233817
"Setembro/2019";233289
"Outubro/2019";225172
"Novembro/2019";214454
"Dezembro/2019";221634
"2020";2730145
"Janeiro/2020";230864
"Fevereiro/2020";220071
"Março/2020";247191
"Abril/2020";242088
"Maio/2020";245069
"Junho/2020";228270
"Julho/2020";230902
"Agosto/2020";220938
"Setembro/2020";225386
"Outubro/2020";215495
"Novembro/2020";207497
"Dezembro/2020";216374
"2021";2677101
"Janeiro/2021";222011
"Fevereiro/2021";211814
"Março/2021";241026
"Abril/2021";233129
"Maio/2021";239942
"Junho/2021";222239
"Julho/2021";222752
"Agosto/2021";219603
"Setembro/2021";220926
"Outubro/2021";215246
"Novembro/2021";211153
"Dezembro/2021";217260
"2022";2561922
"Janeiro/2022";219825
"Fevereiro/2022";207317
"Março/2022";234109
"Abril/2022";225578
"Maio/2022";231719
"Junho/2022";213192
"Julho/2022";212832
"Agosto/2022";209771
"Setembro/2022";193997
"Outubro/2022";191061
"Novembro/2022";204592
"Dezembro/2022";217929
"2023";2537576
"Janeiro/2023";222608
"Fevereiro/2023";204105
"Março/2023";234147
"Abril/2023";218654
"Maio/2023";231023
"Junho/2023";217299
"Julho/2023";211095
"Agosto/2023";209301
"Setembro/2023";203776
"Outubro/2023";200729
"Novembro/2023";190836
"Dezembro/2023";194003
"2024";2389325
"Janeiro/2024";202635
"Fevereiro/2024";197086
"Março/2024";215701
"Abril/2024";214917
"Maio/2024";215084
"Junho/2024";196934
"Julho/2024";199452
"Agosto/2024";193474
"Setembro/2024";193540
"Outubro/2024";192615
"Novembro/2024";182356
"Dezembro/2024";185531
"2025";2456688
"Janeiro/2025";197177
"Fevereiro/2025";191743
"Março/2025";219064
"Abril/2025";220206
"Maio/2025";222992
"Junho/2025";205422
"Julho/2025";209284
"Agosto/2025";200948
"Setembro/2025";203972
"Outubro/2025";197612
"Novembro/2025";189267
"Dezembro/2025";199001
"2026";591534
"Janeiro/2026";199973
"Fevereiro/2026";179925
"Março/2026";211636
"Total";30537372
