"Ano/mês da aplicação";"Aplicações de 1ª dose contra sarampo no Brasil";"Sarampo";"SCR";"SCRV";"SCRV-2"
"2016";5253633;;;;
"Janeiro/2016";380650;;;;
"Fevereiro/2016";363569;;;;
"Março/2016";399527;;;;
"Abril/2016";398588;;;;
"Maio/2016";423673;;;;
"Junho/2016";417942;;;;
"Julho/2016";472039;;;;
"Agosto/2016";533602;;;;
"Setembro/2016";751794;;;;
"Outubro/2016";382907;;;;
"Novembro/2016";400272;;;;
"Dezembro/2016";329070;;;;
"2017";4459491;;;;
"Janeiro/2017";405119;;;;
"Fevereiro/2017";351487;;;;
"Março/2017";465510;;;;
"Abril/2017";342958;;;;
"Maio/2017";418285;;;;
"Junho/2017";345291;;;;
"Julho/2017";342177;;;;
"Agosto/2017";356763;;;;
"Setembro/2017";563799;;;;
"Outubro/2017";329629;;;;
"Novembro/2017";300643;;;;
"Dezembro/2017";237830;;;;
"2018";6309146;;;;
"Janeiro/2018";388240;;;;
"Fevereiro/2018";314189;;;;
"Março/2018";437652;;;;
"Abril/2018";475062;;;;
"Maio/2018";419588;;;;
"Junho/2018";413384;;;;
"Julho/2018";931198;;;;
"Agosto/2018";1310315;;;;
"Setembro/2018";512091;;;;
"Outubro/2018";444225;;;;
"Novembro/2018";377252;;;;
"Dezembro/2018";285950;;;;
"2019";10122815;;;;
"Janeiro/2019";426728;;;;
"Fevereiro/2019";432277;;;;
"Março/2019";498849;;;;
"Abril/2019";480151;;;;
"Maio/2019";495752;;;;
"Junho/2019";446156;;;;
"Julho/2019";1181496;;;;
"Agosto/2019";1970232;;;;
"Setembro/2019";1468077;;;;
"Outubro/2019";1116950;;;;
"Novembro/2019";1085731;;;;
"Dezembro/2019";520416;;;;
"2020";6586744;;;;
"Janeiro/2020";529106;;;;
"Fevereiro/2020";1112368;;;;
"Março/2020";796169;;;;
"Abril/2020";300571;;;;
"Maio/2020";430438;;;;
"Junho/2020";437412;;;;
"Julho/2020";547390;;;;
"Agosto/2020";721795;;;;
"Setembro/2020";486732;;;;
"Outubro/2020";623018;;;;
"Novembro/2020";362977;;;;
"Dezembro/2020";238768;;;;
"2021";3513899;;;;
"Janeiro/2021";312003;;;;
"Fevereiro/2021";282243;;;;
"Março/2021";320503;;;;
"Abril/2021";317550;;;;
"Maio/2021";296433;;;;
"Junho/2021";271286;;;;
"Julho/2021";299114;;;;
"Agosto/2021";297089;;;;
"Setembro/2021";300061;;;;
"Outubro/2021";299968;;;;
"Novembro/2021";279402;;;;
"Dezembro/2021";238247;;;;
"2022";4015336;;;;
"Janeiro/2022";275007;;;;
"Fevereiro/2022";266355;;;;
"Março/2022";291703;;;;
"Abril/2022";370724;;;;
"Maio/2022";427856;;;;
"Junho/2022";389354;;;;
"Julho/2022";370670;;;;
"Agosto/2022";416238;;;;
"Setembro/2022";339782;;;;
"Outubro/2022";323160;;;;
"Novembro/2022";304123;;;;
"Dezembro/2022";240364;;;;
"2023";3775198;19;3766323;8577;279
"Janeiro/2023";347701;0;347347;353;1
"Fevereiro/2023";264338;3;264054;281;0
"Março/2023";346639;1;346346;292;0
"Abril/2023";272074;1;271788;285;0
"Maio/2023";327154;2;326864;286;2
"Junho/2023";295341;3;295003;328;7
"Julho/2023";327264;4;326923;328;9
"Agosto/2023";378389;2;377996;373;18
"Setembro/2023";329167;0;328846;305;16
"Outubro/2023";360071;1;359062;954;54
"Novembro/2023";298995;0;296640;2266;89
"Dezembro/2023";228065;2;225454;2526;83
"2024";3454143;56;3375386;76936;1765
"Janeiro/2024";365753;3;361533;4098;119
"Fevereiro/2024";317540;7;314019;3390;124
"Março/2024";300696;7;296571;3976;142
"Abril/2024";341609;5;336745;4692;167
"Maio/2024";286306;6;281942;4196;162
"Junho/2024";329701;7;324495;5042;157
"Julho/2024";302377;2;295939;6293;143
"Agosto/2024";268115;12;261065;6897;141
"Setembro/2024";244773;2;236784;7847;140
"Outubro/2024";258545;4;247039;11332;170
"Novembro/2024";252624;1;241762;10711;150
"Dezembro/2024";186104;0;177492;8462;150
"2025";3305075;133;3235780;68450;712
"Janeiro/2025";304331;2;293891;10317;121
"Fevereiro/2025";258408;8;251719;6646;35
"Março/2025";262721;5;256376;6281;59
"Abril/2025";265257;1;260601;4603;52
"Maio/2025";286886;5;281966;4849;66
"Junho/2025";252638;1;248824;3745;68
"Julho/2025";311899;13;306890;4901;95
"Agosto/2025";307429;31;299971;7365;62
"Setembro/2025";305876;51;298037;7733;55
"Outubro/2025";320649;14;314258;6334;43
"Novembro/2025";235636;0;232554;3046;36
"Dezembro/2025";193345;2;190693;2630;20
"2026";2209023;19;2176255;32614;135
"Janeiro/2026";300108;4;294897;5178;29
"Fevereiro/2026";235860;4;232886;2955;15
"Março/2026";273785;4;269623;4132;26
"Abril/2026";250816;1;247097;3677;41
"Maio/2026";257637;1;254013;3611;12
"Junho/2026";259873;1;255963;3907;2
"Julho/2026";291834;2;287248;4579;5
"Agosto/2026";339110;2;334528;4575;5
"Total";53004503;227;12553744;186577;2891
