"Ano/mês da aplicação";"Aplicações de 2ª dose (SCR) no Brasil"
"2023";2390958
"Janeiro/2023";218658
"Fevereiro/2023";165848
"Março/2023";223819
"Abril/2023";168421
"Maio/2023";207802
"Junho/2023";177344
"Julho/2023";209153
"Agosto/2023";251473
"Setembro/2023";208302
"Outubro/2023";224489
"Novembro/2023";188775
"Dezembro/2023";146874
"2024";1628729
"Janeiro/2024";218813
"Fevereiro/2024";195507
"Março/2024";154340
"Abril/2024";152700
"Maio/2024";126144
"Junho/2024";151464
"Julho/2024";161587
"Agosto/2024";124804
"Setembro/2024";100086
"Outubro/2024";88661
"Novembro/2024";90649
"Dezembro/2024";63974
"2025";1304379
"Janeiro/2025";103904
"Fevereiro/2025";94937
"Março/2025";101408
"Abril/2025";103479
"Maio/2025";104296
"Junho/2025";85357
"Julho/2025";101586
"Agosto/2025";109700
"Setembro/2025";110534
"Outubro/2025";146365
"Novembro/2025";127712
"Dezembro/2025";115101
"2026";1036560
"Janeiro/2026";167471
"Fevereiro/2026";132325
"Março/2026";136067
"Abril/2026";114425
"Maio/2026";110828
"Junho/2026";103967
"Julho/2026";117673
"Agosto/2026";153804
"Total";6360626
